URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30357505/30345882/18/19/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 18:00 to 19:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.278,616.701,602.805,630.835
"http://localhost:8072/aggregate-travel-times/30357505/30345882/18/19/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 18:00 to 19:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.967,477.999,461.098,498.608
"http://localhost:8072/aggregate-travel-times/30357505/30345882/19/20/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 19:00 to 20:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,8.709,522.535,512.794,533.77
"http://localhost:8072/aggregate-travel-times/30357505/30345882/19/20/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 19:00 to 20:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.558,393.494,381.052,407.005
"http://localhost:8072/aggregate-travel-times/30357505/30345882/20/21/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 20:00 to 21:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,7.813,468.771,460.358,477.046
"http://localhost:8072/aggregate-travel-times/30357505/30345882/20/21/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 20:00 to 21:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.288,377.26,361.375,393.929
"http://localhost:8072/aggregate-travel-times/30357505/30345882/21/22/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 21:00 to 22:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,7.367,442.013,432.886,450.926
"http://localhost:8072/aggregate-travel-times/30357505/30345882/21/22/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 21:00 to 22:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.048,362.871,342.104,378.881
"http://localhost:8072/aggregate-travel-times/30357505/30345882/22/23/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 22:00 to 23:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.797,407.827,400.533,416.051
"http://localhost:8072/aggregate-travel-times/30357505/30345882/22/23/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 22:00 to 23:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.917,355.039,333.059,380.894
"http://localhost:8072/aggregate-travel-times/30357505/30345882/23/24/2023-11-01/2024-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 23:00 to 00:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.561,393.651,379.298,404.235
"http://localhost:8072/aggregate-travel-times/30357505/30345882/23/24/2022-11-01/2023-04-01/false/12345","Bloor St W","Westbound","Runnymede Rd","Aberfoyle Cres & Gardenvale Rd","From 23:00 to 00:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,4.915,294.88,285.039,305.272
"http://localhost:8072/aggregate-travel-times/30345882/30357505/0/1/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 00:00 to 01:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.186,371.189,358.752,382.543
"http://localhost:8072/aggregate-travel-times/30345882/30357505/0/1/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 00:00 to 01:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.495,329.674,318.677,335.383
"http://localhost:8072/aggregate-travel-times/30345882/30357505/1/2/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 01:00 to 02:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,5.841,350.481,342.06,361.544
"http://localhost:8072/aggregate-travel-times/30345882/30357505/1/2/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 01:00 to 02:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.52,331.184,254.611,394.334
"http://localhost:8072/aggregate-travel-times/30345882/30357505/2/3/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 02:00 to 03:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.221,373.259,358.856,385.201
"http://localhost:8072/aggregate-travel-times/30345882/30357505/2/3/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 02:00 to 03:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.715,402.881,342.072,463.69
"http://localhost:8072/aggregate-travel-times/30345882/30357505/3/4/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 03:00 to 04:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.16,369.6,347.188,386.599
"http://localhost:8072/aggregate-travel-times/30345882/30357505/3/4/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 03:00 to 04:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.069,424.15,329.702,551.168
"http://localhost:8072/aggregate-travel-times/30345882/30357505/4/5/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 04:00 to 05:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.352,381.094,371.774,390.728
"http://localhost:8072/aggregate-travel-times/30345882/30357505/4/5/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 04:00 to 05:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,4.13,247.821,,
