URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,sample,mean_travel_time_minutes,mean_travel_time_seconds
http://localhost:8072/aggregate-travel-times/30357505/30345882/21/22/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 21:00 to 22:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,16,6.047855781,362.8713469
http://localhost:8072/aggregate-travel-times/30357505/30345882/22/23/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 22:00 to 23:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,71,6.797118857,407.8271314
http://localhost:8072/aggregate-travel-times/30357505/30345882/22/23/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 22:00 to 23:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,13,5.917309123,355.0385474
http://localhost:8072/aggregate-travel-times/30357505/30345882/23/24/2023-11-01/2024-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 23:00 to 00:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,69,6.560858258,393.6514955
http://localhost:8072/aggregate-travel-times/30357505/30345882/23/24/2022-11-01/2023-04-01/false/12345,Bloor St W,Westbound,Runnymede Rd,Aberfoyle Cres & Gardenvale Rd,From 23:00 to 00:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,12,4.914674954,294.8804972
http://localhost:8072/aggregate-travel-times/30345882/30357505/0/1/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 00:00 to 01:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,42,6.186485423,371.1891254
http://localhost:8072/aggregate-travel-times/30345882/30357505/0/1/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 00:00 to 01:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,3,5.494567,329.67402
http://localhost:8072/aggregate-travel-times/30345882/30357505/1/2/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 01:00 to 02:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,27,5.841356026,350.4813616
http://localhost:8072/aggregate-travel-times/30345882/30357505/1/2/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 01:00 to 02:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,3,5.519736466,331.184188
http://localhost:8072/aggregate-travel-times/30345882/30357505/2/3/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 02:00 to 03:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,57,6.220976102,373.2585661
http://localhost:8072/aggregate-travel-times/30345882/30357505/2/3/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 02:00 to 03:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,4,6.7146817,402.880902
http://localhost:8072/aggregate-travel-times/30345882/30357505/3/4/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 03:00 to 04:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,29,6.160000218,369.6000131
http://localhost:8072/aggregate-travel-times/30345882/30357505/3/4/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 03:00 to 04:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,3,7.069166151,424.1499691
http://localhost:8072/aggregate-travel-times/30345882/30357505/4/5/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 04:00 to 05:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,46,6.351568473,381.0941084
http://localhost:8072/aggregate-travel-times/30345882/30357505/4/5/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 04:00 to 05:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,1,4.130351826,247.8211095
http://localhost:8072/aggregate-travel-times/30345882/30357505/5/6/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 05:00 to 06:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,53,6.191415652,371.4849391
http://localhost:8072/aggregate-travel-times/30345882/30357505/5/6/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 05:00 to 06:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,9,6.569306579,394.1583947
http://localhost:8072/aggregate-travel-times/30345882/30357505/6/7/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 06:00 to 07:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,82,6.283927681,377.0356609
